Région,Préfecture,Commune,Canton,Village,École
KARA,ASSOLI,"ASSOLI 1",BOULADE,KALAMPAÏ,"EPP BOULADE/B"
KARA,ASSOLI,"ASSOLI 1",BOULADE,KALAMPAÏ,"EPP BOULADE/B"
KARA,ASSOLI,"ASSOLI 1",BAFILO,KPAYA-WORO,"EPP KPAYA-WORO"
KARA,ASSOLI,"ASSOLI 1",BAFILO,KPAYA-WORO,"EPP KPAYA-WORO"
KARA,ASSOLI,"ASSOLI 2",KOUMONDE,KIDEROU,"EPP KOUMONDE A/B"
KARA,ASSOLI,"ASSOLI 2",KOUMONDE,KIDEROU,"EPP KOUMONDE A/B"
KARA,ASSOLI,"ASSOLI 2",ALEDJO,EFOLO,"EPP EFOLO"
KARA,ASSOLI,"ASSOLI 2",ALEDJO,EFOLO,"EPP EFOLO"
KARA,ASSOLI,"ASSOLI 2",ALEDJO,DIKORODE,"EPP DIKORODE"
KARA,ASSOLI,"ASSOLI 2",ALEDJO,DIKORODE,"EPP DIKORODE"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,ESSOWAZINA,"EPP ESSOWAZINA"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,ESSOWAZINA,"EPP ESSOWAZINA"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,AGBANDAODE,"EPP AGBANDAODE"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,AGBANDAODE,"EPP AGBANDAODE"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,TOMBORO,"EPP TOMBORO"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,TOMBORO,"EPP TOMBORO"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,GBAO,"EPP GBAO"
KARA,ASSOLI,"ASSOLI 3",SOUDOU,GBAO,"EPP GBAO"
KARA,DANKPEN,"DANKPEN 2",NATCHITIKPI,MAMBI,"EPP MAMBI"
KARA,DANKPEN,"DANKPEN 2",NATCHITIKPI,MAMBI,"EPP MAMBI"
KARA,DANKPEN,"DANKPEN 3",BAPURE,NANANI,"EPP NANANI"
KARA,DANKPEN,"DANKPEN 3",BAPURE,NANANI,"EPP NANANI"
KARA,DANKPEN,"DANKPEN 3",BAPURE,YAKINDO,"EPP YAKINDO"
KARA,DANKPEN,"DANKPEN 3",BAPURE,YAKINDO,"EPP YAKINDO"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,NATCHIKPIL,"EPP NATCHIKPIL"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,KPETAB,"EPP KPETAB"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,KPETAB,"EPP KPETAB"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,NASSIBICK,"EPP NASSIBICK"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,NASSIBICK,"EPP NASSIBICK"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,DJAKPAGNON,"EPP DJAKPAGNON"
KARA,DANKPEN,"DANKPEN 3",KIDJABOUN,DJAKPAGNON,"EPP DJAKPAGNON"
